GDNFP+,med_value
SCRG1,0.51869324
RBFOX3,0.343895766
GSX1,0.289392564
ZIC5,0.260733853
CRTAC1,0.189174923
FOXD2,0.177166836
CDH22,0.174065043
SLC6A17,0.170746842
RSPO1,0.162755127
HAND2,0.15492541
DLX3,0.149618952
CELF4,0.144714648
CRMP1,0.139493285
RNF220,0.13868611
ARX,0.138178405
NKX2-2,0.135440784
PTPRN2,0.134301305
GALNT9,0.130480604
TMEM132E,0.129160497
UNC5A,0.125116424
SRCIN1,0.122040386
SSTR5,0.121305764
CACNG2,0.117827167
DMRT3,0.115663446
LMX1B,0.114973493
XKR6,0.114250804
ASIC4,0.108864191
PPP2R2C,0.108617279
FEZF2,0.106815623
VAX2,0.106654021
HPCAL4,0.10402066
HOXC10,0.103128885
HOXB5,0.102753185
RFX4,0.101530316
GNAS,0.098465051
TFAP2A,0.097905591
SNCB,0.097496324
CPLX1,0.097293227
DMTN,0.097160984
ELFN2,0.094718622
FOXL1,0.091655552
PAX7,0.090928709
MAFB,0.081833368
OLFM1,0.081146014
LMX1A,0.080243046
NRN1,0.079343264
HMX1,0.078191407
SYT5,0.077775333
BMP7,0.076781191
EBF3,0.07611559
FOXB1,0.075970244
DDN,0.07569129
PHACTR3,0.072287174
FBXL16,0.072132658
EPHA10,0.06837866
ZDHHC22,0.067361799
GATA4,0.06584906
PDYN,0.064919651
KCNJ10,0.062662946
CALY,0.061268992
ANK1,0.05923796
LINGO1,0.059012802
NAT8L,0.058028737
KCNH2,0.057487396
MEGF11,0.056817313
EOMES,0.055822785
KCNT1,0.055801969
NRXN2,0.055649742
ONECUT1,0.054874455
EXOC6,0.054705247
NSG1,0.05442878
TCHH,0.054338096
HOXC9,0.053252318
ATP6V1B1,0.05306705
ONECUT2,0.052397079
GJA3,0.051217211
PRRXL1,0.050500539
GRM4,0.049812265
TBX5,0.049317319
MPPED1,0.049265485
IHH,0.047718782
IRX4,0.046242589
SIX6,0.045911769
PDX1,0.045765371
TCTE1,0.045357805
RGS20,0.045221065
ISLR2,0.045202208
SLC6A12,0.045177752
SLC12A5,0.044996466
DBH,0.044699718
NEUROG1,0.04462659
CAR4,0.0442588
NEFL,0.044211325
POU3F3,0.044174787
PDE1B,0.043931393
GFI1B,0.042796166
NRG2,0.042134783
ADORA1,0.041737701
NEUROG3,0.041352936
CHD5,0.039431316
SCRT2,0.038909237
CBLN1,0.03827392
LMO2,0.037838848
ITPKA,0.037562069
GRP,0.037290891
KIF1A,0.03727887
GRIN1,0.03697642
LHX3,0.036448174
ISL1,0.036339025
TBX1,0.036194538
RXRG,0.035946031
SFRP1,0.035929202
CYP24A1,0.03510754
CBX8,0.034781954
KIRREL3,0.034279276
SLC17A7,0.033897742
KCNK3,0.032975955
GRIK3,0.032736806
ADAMTSL2,0.031685678
FADS6,0.031684067
EPS8L1,0.031376142
SORCS2,0.031293808
ADCYAP1,0.03120813
TCF21,0.031114701
HMX3,0.031091211
OTOP3,0.031013692
NEUROG2,0.030887037
SLC9A3,0.030777186
ARHGAP36,0.0305429
CCDC177,0.030435751
MYOD1,0.030023458
IRX6,0.029716711
CYP26A1,0.029028992
TBX20,0.027628961
RAB37,0.027009129
WNT3A,0.026601873
TMEM179,0.026415852
SKAP1,0.026358718
JPH3,0.026264797
FIBCD1,0.02612797
PHF24,0.026034197
NKX2-3,0.025484509
EEF1A2,0.025422234
ACOXL,0.025265294
PLCH2,0.025253801
CCDC33,0.024470531
SMUG1,0.024099852
CBX4,0.023782973
DPYSL2,0.023136127
TBKBP1,0.023117174
GP1BB,0.023106659
WNT7B,0.023066432
BARX2,0.022695931
TENM4,0.021952753
CACNA2D4,0.021779051
KCNJ5,0.021511473
OVOL1,0.021331494
EBF1,0.021294023
CDK5R2,0.021092249
NXPH1,0.02101032
ABLIM2,0.02073328
LEF1,0.020575274
LRRC4B,0.019984885
TRIM36,0.019378517
LRFN2,0.01930455
FRMPD1,0.019301409
NGFR,0.019121525
DPYSL5,0.018824411
GBX1,0.018753986
FGF8,0.018742835
HOXA11,0.018662737
KCNIP1,0.018513752
TCF15,0.018455778
CHST8,0.017968702
MNX1,0.01795641
ZBTB7C,0.016877878
LIN28B,0.016622734
MYT1L,0.016490863
PCDH8,0.01624858
ASIC2,0.016226921
PDGFB,0.016101967
NKX2-9,0.01603507
LY6H,0.01599144
IQSEC3,0.015738553
TRIM67,0.015633501
KCND3,0.015562915
CDKN2C,0.015415972
ADGRB1,0.014856615
EHBP1,0.014641104
RTBDN,0.014490361
SOX3,0.014320504
CITED1,0.013690142
MFSD4A,0.013602186
GPRIN2,0.013380448
COL2A1,0.013329956
SPR,0.0131953
ALX3,0.013051079
ALDH1A3,0.013009577
RAP1GAP,0.012828668
SEZ6L,0.012819021
GIMAP5,0.012651531
SIM1,0.012638346
SLC26A10,0.012582632
SLC18A2,0.012366564
C1QC,0.012272769
UNC13A,0.01220097
TCEA2,0.012167933
PCK1,0.012141091
SLFN3,0.012113688
IRF4,0.012092375
PSD2,0.012045996
HOXA1,0.011873943
SP8,0.011782181
MECOM,0.011585043
EGR3,0.011505832
HEY2,0.011321099
HOXB6,0.011320427
BCAN,0.011206952
IQSEC2,0.011063854
TNNI3,0.011052199
MCF2L,0.010851343
GLP1R,0.010849799
MRGPRE,0.010746066
CBX2,0.010705706
COL4A2,0.010510847
RASGEF1A,0.010409745
GM1673,0.010386041
DTX1,0.010275915
CYP46A1,0.010152682
BMI1,0.009947013
DPF1,0.009900235
ATP2B2,0.009785018
DLX1,0.009766836
PRKCZ,0.009566808
SLFN4,0.00948143
CACNG8,0.009464582
NCKAP1L,0.00944723
LRRN2,0.00943475
POM121L2,0.009332552
GNAL,0.009210719
CPLX2,0.009078347
AUTS2,0.00906653
TBC1D21,0.009011202
ARC,0.008990502
SP5,0.00898928
SLC30A3,0.008979002
WNT6,0.008727434
PDZD4,0.008705127
SCN2B,0.008653205
KCNK10,0.00851071
MTMR9,0.008425372
COMP,0.008338484
SEZ6,0.008327304
AQP5,0.008226922
EFNB3,0.007773906
GABRD,0.007726136
DNAH8,0.007560095
MAL,0.007553974
SORCS3,0.00753432
HOXC6,0.007489995
ST8SIA3,0.007307622
FGD5,0.007136097
BEAN1,0.007075364
DGKK,0.007048061
NFASC,0.00704323
SLC6A3,0.006983889
FAM124A,0.006777379
BLK,0.006728504
TFAP2B,0.00667081
OTOP2,0.006576025
CYS1,0.006538563
MRGPRG,0.006500688
LGI2,0.006428937
CPXM1,0.006414561
SPON1,0.006355798
HPCA,0.006354467
TBX3,0.006071057
GRID1,0.006064807
CACNA1H,0.006012208
TFAP2C,0.006006348
CHRNA2,0.00588773
CEACAM10,0.00588157
PRKAG2,0.005861287
GALNT18,0.005851044
NTRK3,0.005836384
ETS1,0.005767908
ALK,0.005709743
SYT6,0.005680165
OTX2,0.005651156
CACNA1S,0.005603472
DRD2,0.005552658
HOXB3,0.005537845
BPIFA3,0.005529081
DLGAP3,0.005398452
PPP1R1A,0.005364541
AJAP1,0.005354782
NPHS1,0.005290314
FOXE3,0.005223069
PROK2,0.005222963